component	line	severity	disposition
src/adapters/verification/coverage-gate.ts	366	CRITICAL	follow-up slice (by path)
src/adapters/verification/temp-root-registry.ts	51	CRITICAL	follow-up slice (by path)
src/application/controller/board-controller.ts	106	CRITICAL	follow-up slice (by path)
src/application/failure-classification.ts	106	CRITICAL	follow-up slice (by path)
src/application/github-publish/status.ts	31	CRITICAL	follow-up slice (by path)
src/application/handoff-command-use-case.ts	248	CRITICAL	follow-up slice (by path)
src/application/handoff-command-use-case.ts	665	CRITICAL	follow-up slice (by path)
src/application/handoff-command-use-case.ts	1273	CRITICAL	follow-up slice (by path)
src/application/integrate/approval.ts	44	CRITICAL	follow-up slice (by path)
src/application/integrate/context.ts	27	CRITICAL	follow-up slice (by path)
src/application/integrate/preflight-review.ts	26	CRITICAL	promote (process/port boundary)
src/application/integrate/support.ts	27	CRITICAL	follow-up slice (by path)
src/application/projections/bug-frequency.ts	119	CRITICAL	follow-up slice (by path)
src/application/projections/bug-frequency.ts	204	CRITICAL	follow-up slice (by path)
src/application/projections/metrics-read-adapter.ts	225	CRITICAL	follow-up slice (by path)
src/application/projections/metrics.ts	542	CRITICAL	follow-up slice (by path)
src/application/projections/mission-board.ts	265	CRITICAL	follow-up slice (by path)
src/application/rebase-workflow.ts	30	CRITICAL	follow-up slice (by path)
src/application/rebase-workflow.ts	56	CRITICAL	follow-up slice (by path)
src/application/rebase-workflow.ts	193	CRITICAL	follow-up slice (by path)
src/application/rebound-kernel.ts	323	CRITICAL	follow-up slice (by path)
src/application/rebound-kernel.ts	465	CRITICAL	follow-up slice (by path)
src/application/review-command-use-case.ts	41	CRITICAL	follow-up slice (by path)
src/application/services/agent-limit.ts	206	CRITICAL	follow-up slice (by path)
src/application/static-evidence.ts	93	CRITICAL	follow-up slice (by path)
src/composition/create-cli.ts	442	CRITICAL	follow-up slice (by path)
src/composition/production-capabilities.ts	155	CRITICAL	follow-up slice (by path)
src/domain/mission-workflow.ts	77	CRITICAL	follow-up slice (by path)
src/domain/review.ts	584	CRITICAL	follow-up slice (by path)
src/interfaces/cli/recover.ts	6	CRITICAL	follow-up slice (by path)
src/interfaces/cli/runtime.ts	114	CRITICAL	follow-up slice (by path)
src/interfaces/cli/status.ts	24	CRITICAL	follow-up slice (by path)
src/interfaces/tui/action-bar.tsx	40	CRITICAL	follow-up slice (by path)
src/interfaces/tui/mission-card.tsx	164	CRITICAL	follow-up slice (by path)
src/interfaces/tui/shell.tsx	555	CRITICAL	follow-up slice (by path)
src/interfaces/web/transport.ts	1043	CRITICAL	follow-up slice (by path)
